Call_date,Ticker,volume,Delivery %
2026-04-20 18:30:00,ONGC,13645673,69.59
2026-04-19 18:30:00,ONGC,11057036,62.81
2026-04-16 18:30:00,ONGC,17846605,66.57
2026-04-15 18:30:00,ONGC,13626398,49.97
2026-04-14 18:30:00,ONGC,16529148,48.42
2026-04-12 18:30:00,ONGC,23986567,23.66
2026-04-09 18:30:00,ONGC,12889209,43.77
2026-04-08 18:30:00,ONGC,13585661,41.45
2026-04-07 18:30:00,ONGC,42071040,39.9
2026-04-06 18:30:00,ONGC,22891122,46.56
2026-04-05 18:30:00,ONGC,24449779,52.13
2026-04-01 18:30:00,ONGC,20935809,45.97
2026-03-31 18:30:00,ONGC,31626297,47.55
2026-03-29 18:30:00,ONGC,44866906,40.19
2026-03-26 18:30:00,ONGC,60048871,35.71
2026-03-24 18:30:00,ONGC,13380625,63.84
2026-04-23 18:30:00,INDIGO,731221,48.75
2026-04-22 18:30:00,INDIGO,1024694,49.36
2026-04-21 18:30:00,INDIGO,1082869,52.48
2026-04-20 18:30:00,INDIGO,850836,50.99
2026-04-19 18:30:00,INDIGO,1026819,49.32
2026-04-16 18:30:00,INDIGO,762531,42.22
2026-04-15 18:30:00,INDIGO,1474798,45.71
2026-04-14 18:30:00,INDIGO,1623094,34.32
2026-04-12 18:30:00,INDIGO,1662563,31.57
2026-04-09 18:30:00,INDIGO,1296004,38.04
2026-04-08 18:30:00,INDIGO,1904534,41.98
2026-04-07 18:30:00,INDIGO,5538528,37.41
2026-04-06 18:30:00,INDIGO,1488156,29.67
2026-04-05 18:30:00,INDIGO,1802863,24.78
2026-04-01 18:30:00,INDIGO,2222700,26.1
2026-03-31 18:30:00,INDIGO,4361610,34.68
2026-03-29 18:30:00,INDIGO,2450995,32.06
2026-03-26 18:30:00,INDIGO,1693708,42.93
2026-03-24 18:30:00,INDIGO,2206366,55.56
2026-04-23 18:30:00,APOLLOHOSP,407458,58.06
2026-04-22 18:30:00,APOLLOHOSP,304110,50.67
2026-04-21 18:30:00,APOLLOHOSP,608446,60.24
2026-04-20 18:30:00,APOLLOHOSP,312758,59.55
2026-04-19 18:30:00,APOLLOHOSP,344019,54.3
2026-04-16 18:30:00,APOLLOHOSP,343875,60.4
2026-04-15 18:30:00,APOLLOHOSP,400487,58.46
2026-04-14 18:30:00,APOLLOHOSP,464570,54.34
2026-04-12 18:30:00,APOLLOHOSP,310575,55.77
2026-04-09 18:30:00,APOLLOHOSP,437163,59.41
2026-04-08 18:30:00,APOLLOHOSP,416753,56.16
2026-04-07 18:30:00,APOLLOHOSP,387242,53.37
2026-04-06 18:30:00,APOLLOHOSP,311560,52.23
